id,image_filename,image_path,cnic,ocr_status,confidence
1,0001.png,IdentityCards/0001.png,,failed,0.3314
2,0002.png,IdentityCards/0002.png,,failed,0.2827
3,0003.png,IdentityCards/0003.png,,failed,0
4,0004.png,IdentityCards/0004.png,,failed,0.2483
5,0005.png,IdentityCards/0005.png,,failed,0.4258
6,0006.png,IdentityCards/0006.png,42606-0000006-6,success,0.625
7,0007.png,IdentityCards/0007.png,42607-0000007-7,success,0.5262
8,0008.png,IdentityCards/0008.png,,failed,0
9,0009.png,IdentityCards/0009.png,,failed,0.3229
10,0010.png,IdentityCards/0010.png,42010-0000010-0,success,0.553
11,0011.png,IdentityCards/0011.png,,failed,0.3947
12,0012.png,IdentityCards/0012.png,,failed,0.3796
13,0013.png,IdentityCards/0013.png,,failed,0
14,0014.png,IdentityCards/0014.png,42014-0000014-4,success,0.6134
15,0015.png,IdentityCards/0015.png,42015-0000015-5,success,0.6412
16,0016.png,IdentityCards/0016.png,42016-0000016-6,success,0.8264
17,0017.png,IdentityCards/0017.png,42017-0000017-7,success,0.6699
18,0018.png,IdentityCards/0018.png,,failed,0.3588
19,0019.png,IdentityCards/0019.png,42019-0000019-9,success,0.8174
20,0020.png,IdentityCards/0020.png,,failed,0.2605
21,0021.png,IdentityCards/0021.png,,failed,0
22,0022.png,IdentityCards/0022.png,42022-0000022-2,success,0.5492
23,0023.png,IdentityCards/0023.png,,failed,0.4582
24,0024.png,IdentityCards/0024.png,42024-0000024-4,success,0.6629
25,0025.png,IdentityCards/0025.png,,failed,0.3012
26,0026.png,IdentityCards/0026.png,,failed,0
27,0027.png,IdentityCards/0027.png,,failed,0.4779
28,0028.png,IdentityCards/0028.png,42028-0000028-8,success,0.6339
29,0029.png,IdentityCards/0029.png,42029-0000029-9,success,0.5906
30,0030.png,IdentityCards/0030.png,42030-0000030-0,success,0.6513
31,0031.png,IdentityCards/0031.png,,failed,0.3312
32,0032.png,IdentityCards/0032.png,42032-0000032-2,success,0.7331
33,0033.png,IdentityCards/0033.png,42033-0000033-3,success,0.5811
34,0034.png,IdentityCards/0034.png,42034-0000034-4,success,0.5785
35,0035.png,IdentityCards/0035.png,,failed,0.4009
36,0036.png,IdentityCards/0036.png,42036-0000036-6,success,0.8195
37,0037.png,IdentityCards/0037.png,42037-0000037-7,success,0.763
38,0038.png,IdentityCards/0038.png,42038-0000838-8,success,0.5184
39,0039.png,IdentityCards/0039.png,42039-0000039-9,success,0.7945
40,0040.png,IdentityCards/0040.png,,failed,0.366
41,0041.png,IdentityCards/0041.png,,failed,0.2081
42,0042.png,IdentityCards/0042.png,42042-0000042-2,success,0.6971
43,0043.png,IdentityCards/0043.png,,failed,0.4321
44,0044.png,IdentityCards/0044.png,,failed,0.496
45,0045.png,IdentityCards/0045.png,42045-0000045-5,success,0.6836
46,0046.png,IdentityCards/0046.png,42046-0000046-6,success,0.8623
47,0047.png,IdentityCards/0047.png,,failed,0.4989
48,0048.png,IdentityCards/0048.png,42048-0000048-8,success,0.54
49,0049.png,IdentityCards/0049.png,42049-0000049-9,success,0.5695
50,0050.png,IdentityCards/0050.png,,failed,0.3169
51,0051.png,IdentityCards/0051.png,42051-0000051-1,success,0.8369
52,0052.png,IdentityCards/0052.png,42052-0000052-2,success,0.5379
53,0053.png,IdentityCards/0053.png,,failed,0.2606
54,0054.png,IdentityCards/0054.png,42054-0000054-4,success,0.7802
55,0055.png,IdentityCards/0055.png,42055-0000055-5,success,0.5781
56,0056.png,IdentityCards/0056.png,42056-0000056-6,success,0.715
57,0057.png,IdentityCards/0057.png,,failed,0.4273
58,0058.png,IdentityCards/0058.png,,failed,0
59,0059.png,IdentityCards/0059.png,42059-0000059-9,success,0.742
60,0060.png,IdentityCards/0060.png,,failed,0
61,0061.png,IdentityCards/0061.png,42081-0000061-1,success,0.776
62,0062.png,IdentityCards/0062.png,42062-0000062-2,success,0.8154
63,0063.png,IdentityCards/0063.png,,failed,0.4822
64,0064.png,IdentityCards/0064.png,42084-0000064-4,success,0.5556
65,0065.png,IdentityCards/0065.png,42085-0000065-5,success,0.6175
66,0066.png,IdentityCards/0066.png,42086-0000066-6,success,0.605
67,0067.png,IdentityCards/0067.png,42067-0000067-7,success,0.6753
68,0068.png,IdentityCards/0068.png,42088-0000068-8,success,0.5373
69,0069.png,IdentityCards/0069.png,,failed,0.448
70,0070.png,IdentityCards/0070.png,42070-0000070-0,success,0.7094
71,0071.png,IdentityCards/0071.png,42071-0000071-1,success,0.7663
72,0072.png,IdentityCards/0072.png,42072-0000072-2,success,0.6847
73,0073.png,IdentityCards/0073.png,,failed,0.4754
74,0074.png,IdentityCards/0074.png,42074-0000074-4,success,0.795
75,0075.png,IdentityCards/0075.png,,failed,0.3544
76,0076.png,IdentityCards/0076.png,42076-0000076-6,success,0.804
77,0077.png,IdentityCards/0077.png,42077-0000077-1,success,0.6459
78,0078.png,IdentityCards/0078.png,,failed,0.4545
79,0079.png,IdentityCards/0079.png,42079-0000079-9,success,0.6206
80,0080.png,IdentityCards/0080.png,,failed,0
81,0081.png,IdentityCards/0081.png,,failed,0
82,0082.png,IdentityCards/0082.png,42082-0000082-2,success,0.7101
83,0083.png,IdentityCards/0083.png,,failed,0
84,0084.png,IdentityCards/0084.png,,failed,0
85,0085.png,IdentityCards/0085.png,,failed,0
86,0086.png,IdentityCards/0086.png,42086-0000086-6,success,0.862
